outward,easting,northing,lat,lon
OL8,392492,403513,53.528246,-2.114725
OL9,390277,404819,53.539941,-2.148180
OT5,533688,181432,51.516001,-0.074680
OX1,446958,242607,52.079851,-1.316172
OX10,460328,190250,51.607873,-1.130212
OX11,453670,190038,51.606638,-1.226373
OX12,440527,196535,51.666146,-1.415403
OX13,444564,197992,51.678936,-1.356843
OX14,449620,198569,51.683703,-1.283646
OX15,442620,233560,51.998870,-1.380594
OX16,444595,258562,52.223486,-1.348565
OX17,447812,246360,52.113517,-1.303185
OX18,429418,206240,51.754092,-1.575210
OX19,436940,208588,51.774755,-1.465996
OX1O,271408,661736,55.831666,-4.054579
OX2,448743,206358,51.753813,-1.295246
OX20,444546,217756,51.856637,-1.354574
OX21,447688,207464,51.763840,-1.310383
OX25,452881,221621,51.890655,-1.232976
OX26,461068,228520,51.951838,-1.112806
OX27,457126,228889,51.955574,-1.170096
OX28,435590,209840,51.786106,-1.485424
OX29,440546,211488,51.800583,-1.413388
OX3,451690,209294,51.779947,-1.252120
OX33,459039,206717,51.756048,-1.146044
OX39,469772,203276,51.723881,-0.991263
OX4,454634,204892,51.740086,-1.210137
OX44,458189,215320,51.833481,-1.156916
OX49,472034,200065,51.694729,-0.959182
OX5,449329,215220,51.833432,-1.285495
OX5I,457600,255264,52.192629,-1.158766
OX6,466649,231803,51.980718,-1.030968
OX62,419024,223928,51.913570,-1.724823
OX7,433851,227455,51.944585,-1.508916
OX8,443000,214328,51.825930,-1.377459
OX9,460812,200545,51.700373,-1.121429
P01,460040,99664,50.793430,-1.149509
P04,437920,101784,50.814360,-1.463113
P06,465560,105200,50.842611,-1.070212
P09,472552,108500,50.871448,-0.970267
P0H,263064,707768,56.242641,-4.211207
PA1,247849,664535,55.849938,-4.431915
PA10,240752,662956,55.833473,-4.544234
PA11,238177,665079,55.851678,-4.586563
PA12,235210,659066,55.796704,-4.630250
PA13,235798,669733,55.892643,-4.627335
PA14,233701,673739,55.927877,-4.663302
PA15,228126,675560,55.942256,-4.753574
PA16,224909,675596,55.941424,-4.805044
PA17,219520,666669,55.859322,-4.885253
PA18,219300,669016,55.880297,-4.890328
PA19,223876,677225,55.955664,-4.822625
PA2,260113,638356,55.618622,-4.222782
PA20,209096,663724,55.828884,-5.049475
PA21,194200,675880,55.931798,-5.296109
PA22,200764,680912,55.979703,-5.194937
PA23,215291,677673,55.956457,-4.960236
PA24,219372,700840,56.165881,-4.910601
PA25,212080,707464,56.222490,-5.032546
PA26,218519,711433,56.260603,-4.931559
PA27,209944,699472,56.149941,-5.061223
PA28,173378,625312,55.468987,-5.586886
PA29,182722,667473,55.851358,-5.472720
PA3,257084,667815,55.882213,-4.286268
PA30,185185,685798,56.016807,-5.448051
PA31,195941,679705,55.966857,-5.271183
PA32,200772,700256,56.153230,-5.209210
PA33,213290,727204,56.400066,-5.027049
PA34,192784,709358,56.231469,-5.344682
PA35,200304,722304,56.350804,-5.233380
PA36,203648,749649,56.597492,-5.199952
PA37,191332,735158,56.462221,-5.388534
PA38,201930,756226,56.655756,-5.232931
PA39,166152,788932,56.932404,-5.845182
PA4,249163,667464,55.876643,-4.412572
PA40,218224,761864,56.712951,-4.971519
PA41,164572,648748,55.674957,-5.745860
PA42,136884,647082,55.645818,-6.183369
PA43,131064,659232,55.751496,-6.287505
PA44,133448,662692,55.783815,-6.253011
PA45,139290,666080,55.817360,-6.163347
PA46,142520,671188,55.864868,-6.116790
PA47,116837,652093,55.679448,-6.506078
PA48,125268,658328,55.740145,-6.378665
PA49,151957,694978,56.083049,-5.988292
PA5,243634,662986,55.834688,-4.498275
PA6,236660,670000,55.895332,-4.613740
PA60,151096,665732,55.820477,-5.975100
PA61,139680,695588,56.081984,-6.185633
PA62,161008,725264,56.359133,-5.870513
PA63,170440,727352,56.382522,-5.720021
PA64,173000,733592,56.439702,-5.684062
PA65,172288,736392,56.464461,-5.698027
PA66,130232,723256,56.324609,-6.365129
PA67,139268,722548,56.323323,-6.218725
PA68,145448,735160,56.439696,-6.131300
PA69,145836,727592,56.372090,-6.117681
PA7,244040,670456,55.901869,-4.496110
PA70,153456,728304,56.382504,-5.995292
PA71,154896,740024,56.488291,-5.983017
PA72,157564,743388,56.519822,-5.942929
PA73,144402,741496,56.495903,-6.154415
PA74,140216,745680,56.531099,-6.226409
PA75,148569,754266,56.612581,-6.099296
PA76,128732,725084,56.340128,-6.391196
PA77,100066,744608,56.497624,-6.875624
PA78,122560,757232,56.624474,-6.524930
PA8,246617,670269,55.901018,-4.454822
PA80,66624,798192,56.954345,-7.485988
PA81,78416,820208,57.159607,-7.321141
PA82,91752,868792,57.603416,-7.162464
