origin_postcode,destination_postcode,cost
BS13,BS31,682.4000000000001
BS13,BS32,1154.1000000000001
BS13,BS34,843.7999999999998
BS13,BS35,1255.5
BS13,BS36,680.9999999999999
BS13,BS37,1108.3999999999992
BS13,BS39,755.7000000000004
BS13,BS4,255.10000000000002
BS13,BS40,1076.6999999999998
BS13,BS41,499.1999999999999
BS13,BS43,193.1
BS13,BS48,808.6000000000001
BS13,BS49,1348.9999999999995
BS13,BS5,279.40000000000003
BS13,BS6,346.19999999999993
BS13,BS7,534.4
BS13,BS73,1167.7
BS13,BS8,406.1000000000001
BS13,BS9,654.2000000000002
BS14,BS1,771.4
BS14,BS10,1137.3999999999999
BS14,BS11,1164.3000000000004
BS14,BS12,1070.5000000000002
BS14,BS13,565.1000000000001
BS14,BS14,0.0
BS14,BS15,1039.5999999999997
BS14,BS16,903.2999999999995
BS14,BS17,920.6999999999997
BS14,BS18,348.0
BS14,BS19,1989.0
BS14,BS2,618.4999999999999
BS14,BS20,1230.7000000000003
BS14,BS21,1507.0
BS14,BS22,1900.3999999999994
BS14,BS23,2278.4000000000005
BS14,BS24,2015.6999999999996
BS14,BS25,1559.1
BS14,BS26,1723.3999999999996
BS14,BS27,925.6999999999998
BS14,BS28,1889.5999999999997
BS14,BS29,1717.1999999999998
BS14,BS3,547.4000000000001
BS14,BS30,1091.3999999999996
BS14,BS31,503.2
BS14,BS32,1639.5
BS14,BS34,1329.2
BS14,BS35,1740.8999999999999
BS14,BS36,1061.4999999999993
BS14,BS37,1488.8999999999987
BS14,BS39,402.30000000000007
BS14,BS4,364.90000000000003
BS14,BS40,1124.7
BS14,BS41,796.6000000000001
BS14,BS43,581.7999999999998
BS14,BS48,1068.8000000000002
BS14,BS49,1596.1999999999994
BS14,BS5,696.7000000000002
BS14,BS6,768.8
BS14,BS7,1019.8000000000002
BS14,BS73,1441.4999999999993
BS14,BS8,822.2000000000003
BS14,BS9,1126.5
BS15,BS1,954.3000000000002
BS15,BS10,767.9000000000002
BS15,BS11,1294.6000000000004
BS15,BS12,739.1000000000003
BS15,BS13,831.9000000000002
BS15,BS14,1050.3000000000006
BS15,BS15,0.0
BS15,BS16,369.8
BS15,BS17,781.9999999999997
BS15,BS18,1184.3000000000002
BS15,BS19,1272.3999999999996
BS15,BS2,826.6000000000001
BS15,BS20,1240.0000000000005
BS15,BS21,1586.7999999999997
BS15,BS22,2054.2000000000003
BS15,BS23,2282.600000000001
BS15,BS24,2203.7999999999997
BS15,BS25,2300.5
